ID,Name,Dialogue,HasChoice,AcceptDialogue,AcceptID,RejectDialogue,RejectID,Favorability,ImagePath
1,까망이,자 현장실습이다! ,FALSE,,2,,0,0,
2,까망이,우선 인간의 감정을 이해하려면 그 기억을 들여다 봐야 하겠지?,FALSE,,-1,,0,0,
3,까망이,그러기 위해선 기억에 존재하는 잠재 의식을 하나하나 풀어가야 한다!,FALSE,,4,,0,0,
4,빨강이,잠재의식이요?,FALSE,,-1,,0,0,
5,까망이,그래. 인간들은 자신도 모르는 사이에 기억을 잠재의식으로 잠궈 놓지.,FALSE,,6,,0,0,
6,까망이,그러다 보면 그 기억이 희미해지고 그로부터 나오는 감정도 희미해지기 마련.,FALSE,,-1,,0,0,
7,까망이,그렇다고 해서 그 기억에 남은 감정 자체가 사라지는 것은 아니다!,FALSE,,8,,0,0,
8,까망이,기억에서 나오는 희미한 감정들이 쌓이고 쌓이다 보면 결국 영항을 받을 수 밖에 없지.,FALSE,,9,,0,0,
9,까망이,그런 감정들이 우리 에테르로 흘러들어와서 좋은 영향을 줄 수도 나쁜 영향을 줄 수도 있는 것이다.,FALSE,,10,,0,0,
10,까망이,안 좋은 감정이 계속 흘러들어오면 어떻게 되나요?,FALSE,,11,,0,0,
11,까망이,지금 상황처럼 에테르는 본래의 색을 잃어가고 부정적인 기운을 내뿜기 시작한다.,FALSE,,12,,0,0,
12,까망이,그렇게 되면 우리도 결국 그 기운에 침식당해 그 감정가 하나가 되고 말아.,FALSE,,13,,0,0,
13,까망이,자아를 잃고 그 감정 자체의 파편이 되어버리고 말지.,FALSE,,14,,0,0,
14,까망이,하지만! 너무 걱장마라 그런 일을 막기 위해 우리 마음 해결사들이 존재하는 것이니!,FALSE,,15,,0,0,
15,빨강이,저희가 어떻게 해야 하나요?,FALSE,,16,,0,0,
16,까망이,정말 아는 게 하나도 없나?,FALSE,,17,,0,0,
17,빨강이,넵!,FALSE,,18,,0,0,
18,까망이,윗 대가리들은 도대체 뭘 하는거야!,FALSE,,19,,0,0,
19,파랑이,교육은 제대로 이루어졌습니다. 그냥 쟤가 기억을 못하는 거에요.,FALSE,,20,,0,0,
20,빨강이,...,FALSE,,21,,0,0,
21,까망이,흠...,FALSE,,22,,0,0,
